gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
12944,Horae.,"Horae. [Deutschland, nach 1500(?)]. 16(?)°",Deutschland,1500,1500,,ih00436430,https://gesamtkatalogderwiegendrucke.de/docs/GW12944.htm,https://data.cerl.org/istc/ih00436430,
12945,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1487. 8°",Augsburg,1487,1487,,ic00990000,https://gesamtkatalogderwiegendrucke.de/docs/GW12945.htm,https://data.cerl.org/istc/ic00990000,
12946,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1489. 8°",Augsburg,1489,1489,,ic00991000,https://gesamtkatalogderwiegendrucke.de/docs/GW12946.htm,https://data.cerl.org/istc/ic00991000,
12947,Horae. Cursus hinc inde collecti.,"Horae. Cursus hinc inde collecti. Augsburg: Anton Sorg, 1492. 8°",Augsburg,1492,1492,,ic00992000,https://gesamtkatalogderwiegendrucke.de/docs/GW12947.htm,https://data.cerl.org/istc/ic00992000,
12948,Horae. Officium BMV secundum consuetudinem Romanae curiae.,"Horae. Officium BMV secundum consuetudinem Romanae curiae. Basel: Bernhard Richel, 15.VII.1480. 16°",Basel,1480,1480,,ih00357480,https://gesamtkatalogderwiegendrucke.de/docs/GW12948.htm,https://data.cerl.org/istc/ih00357480,
12949,Horae. Officium BMV secundum consuetudinem Romanae curiae.,"Horae. Officium BMV secundum consuetudinem Romanae curiae. [Basel: Johann Amerbach, um 1482/86]. 16°",Basel,1482,1486,,ih00357745,https://gesamtkatalogderwiegendrucke.de/docs/GW12949.htm,https://data.cerl.org/istc/ih00357745,
12950,Horae. Paradisus animae.,"Horae. Paradisus animae. Basel: Michael Wenssler, 1.IV.1491. 16°",Basel,1491,1491,,ip00079500,https://gesamtkatalogderwiegendrucke.de/docs/GW12950.htm,https://data.cerl.org/istc/ip00079500,
12951,Horae. Paradisus animae.,"Horae. Paradisus animae. Basel: Jakob Wolff, 13.IV.1498. 16°",Basel,1498,1498,,ip00079700,https://gesamtkatalogderwiegendrucke.de/docs/GW12951.htm,https://data.cerl.org/istc/ip00079700,
12952,Horae.,"Horae. [Ingolstadt: Drucker des Celtis (Johann Kachelofen), um 1492]. 16°",Ingolstadt,1492,1492,,ih00435630,https://gesamtkatalogderwiegendrucke.de/docs/GW12952.htm,https://data.cerl.org/istc/ih00435630,
12953,Horae nostrae dominae secundum usum ecclesiae Romanae (Almanach 1490–1508).,"Horae nostrae dominae secundum usum ecclesiae Romanae (Almanach 1490–1508). [Kirchheim: Markus Reinhard, nicht vor 1490]. 8°",Kirchheim,1490,1490,,ih00366000,https://gesamtkatalogderwiegendrucke.de/docs/GW12953.htm,https://data.cerl.org/istc/ih00366000,
