gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
02007,"Anna, Hl. Orationes diversae et devotae de S. Anna, de S. Maria, de S. Mauricio et SS. Candido et Exuperio.","Anna, Hl. Orationes diversae et devotae de S. Anna, de S. Maria, de S. Mauricio et SS. Candido et Exuperio. [Leipzig: Konrad Kachelofen], 1495.",Leipzig,1495,1495,,ia00747200,https://gesamtkatalogderwiegendrucke.de/docs/GW02007.htm,https://data.cerl.org/istc/ia00747200,
02008,"Anna, Hl. Orationes et alia pulchra ad S. Annam.","Anna, Hl. Orationes et alia pulchra ad S. Annam.",,,,,,https://gesamtkatalogderwiegendrucke.de/docs/GW02008.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
02011,"Anna, Hl. Von S. Annas Rosenkranz.","Anna, Hl. Von S. Annas Rosenkranz. Erfurt: In S. Pauls Pfarr (Hans Sporer) , [um 1495]. 4°",Erfurt,1495,1495,,ia00747700,https://gesamtkatalogderwiegendrucke.de/docs/GW02011.htm,https://data.cerl.org/istc/ia00747700,
04166,Bertholdus: Zeitglöcklein des Lebens und Leidens Christi.,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Kirchheim: [Markus Reinhard, um 1491]. 8°",Kirchheim,1491,1491,,ib00510800,https://gesamtkatalogderwiegendrucke.de/docs/GW04166.htm,https://data.cerl.org/istc/ib00510800,
04167,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Birgitta: Orationes, deutsch. — Lob der Glieder Mariae.","Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Birgitta: Orationes, deutsch. — Lob der Glieder Mariae. Basel: [Johann Amerbach], 1492. 8°",Basel,1492,1492,deutsch,ib00511000,https://gesamtkatalogderwiegendrucke.de/docs/GW04167.htm,https://data.cerl.org/istc/ib00511000,
04168,Bertholdus: Zeitglöcklein des Lebens und Leidens Christi.,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Basel: [Johann Amerbach], 1492. 8°",Basel,1492,1492,,ib00512000,https://gesamtkatalogderwiegendrucke.de/docs/GW04168.htm,https://data.cerl.org/istc/ib00512000,
04169,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Pseudo-Augustinus, Aurelius: Oratio de tota passione domini, deutsch.","Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Pseudo-Augustinus, Aurelius: Oratio de tota passione domini, deutsch. Nürnberg: Friedrich Creussner, 6.IV.1493. 8°",Nürnberg,1493,1493,deutsch,ib00513000,https://gesamtkatalogderwiegendrucke.de/docs/GW04169.htm,https://data.cerl.org/istc/ib00513000,
04170,Bertholdus: Zeitglöcklein des Lebens und Leidens Christi.,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. [Reutlingen: Michael Greyff, um 1494]. 8°",Reutlingen,1494,1494,,ib00514000,https://gesamtkatalogderwiegendrucke.de/docs/GW04170.htm,https://data.cerl.org/istc/ib00514000,
04171,Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Lob der Glieder Mariae.,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi. Daran: Lob der Glieder Mariae. Nürnberg: Kaspar Hochfeder, [14]95. 16°",Nürnberg,1495,1495,,ib00515000,https://gesamtkatalogderwiegendrucke.de/docs/GW04171.htm,https://data.cerl.org/istc/ib00515000,
0417110N,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, lat.","Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, lat.",,,,lat.,,https://gesamtkatalogderwiegendrucke.de/docs/GW0417110N.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
