place_occurrence_id,provenance_id,mei_id,place_sequence,name,preferred_placename,geonames_id,geonames_url,latitude,longitude,country,variant_placenames,variant_placename_count,place_note
00559196-p001-loc01,00559196-p001,00559196,1,Cambridge,Cambridge,2653941,https://www.geonames.org/2653941,52.2,0.11667,United Kingdom,케임브리지 | Caergrawnt | Cambridge | Cantabrigia | CBG | GBCMG | Grantanbrycg | Kambrij | Kembric | Kembridža | Kembridžas | Kembriĝo | Kiam-khiâu | Κέμπριτζ | Кеймбридж | Кембридж | Кембриҷ | Кембриџ | Кембрідж | Кембрыдж | კემბრიჯი | Քեմբրիջ | קיימברידג' | كامبريدج | کمبریج | کیمبرج | केंब्रिज | ক্যামব্রিজ | ಕೇಂಬ್ರಿಜ್ | കേംബ്രിഡ്ജ് | เคมบริดจ์ | ကိန်းဘရစ်ချ်မြို့ | ケンブリッジ | 劍橋,34,
00559195-p001-loc01,00559195-p001,00559195,1,Cambridge,Cambridge,2653941,https://www.geonames.org/2653941,52.2,0.11667,United Kingdom,케임브리지 | Caergrawnt | Cambridge | Cantabrigia | CBG | GBCMG | Grantanbrycg | Kambrij | Kembric | Kembridža | Kembridžas | Kembriĝo | Kiam-khiâu | Κέμπριτζ | Кеймбридж | Кембридж | Кембриҷ | Кембриџ | Кембрідж | Кембрыдж | კემბრიჯი | Քեմբրիջ | קיימברידג' | كامبريدج | کمبریج | کیمبرج | केंब्रिज | ক্যামব্রিজ | ಕೇಂಬ್ರಿಜ್ | കേംബ്രിഡ്ജ് | เคมบริดจ์ | ကိန်းဘရစ်ချ်မြို့ | ケンブリッジ | 劍橋,34,
02135612-p001-loc01,02135612-p001,02135612,1,Tübingen,,,,,,,,0,
02138264-p001-loc01,02138264-p001,02138264,1,The Hague,Gemeente Den Haag,2747372,https://www.geonames.org/2747372,52.06866,4.28635,The Netherlands,Den Haag | Gemeente Den Haag | Gemeente ’s-Gravenhage | Leidschenveen | 's-Gravenhage | ’s-Gravenhage,6,
02138264-p002-loc01,02138264-p002,02138264,1,The Hague,Gemeente Den Haag,2747372,https://www.geonames.org/2747372,52.06866,4.28635,The Netherlands,Den Haag | Gemeente Den Haag | Gemeente ’s-Gravenhage | Leidschenveen | 's-Gravenhage | ’s-Gravenhage,6,
02138264-p003-loc01,02138264-p003,02138264,1,The Hague,Gemeente Den Haag,2747372,https://www.geonames.org/2747372,52.06866,4.28635,The Netherlands,Den Haag | Gemeente Den Haag | Gemeente ’s-Gravenhage | Leidschenveen | 's-Gravenhage | ’s-Gravenhage,6,
02010644-p003-loc01,02010644-p003,02010644,1,London,London,2643743,https://www.geonames.org/2643743,51.50853,-0.12574,United Kingdom,런던 | ᎫᎴ ᏗᏍᎪᏂᎯᏱ | ܠܘܢܕܘܢ | ለንደን | ロンドン | ଲଣ୍ଡନ | ลอนดอน | ລອນດອນ | GBLON | ILondon | Lākana | Landan | Landen | Llundain | Lodoni | LON | Londain | Londar | Londe | Londen | Londin | Londinium | Londn | london | London | Londona | Londonas | Londoni | Londono | Londons | Lọndọnu | Londra | Łondra | Londres | Londrez | Londri | Londro | Londye | Londyn | Londýn | Lonn | Lontoo | Loundres | Luân Đôn | Lunden | Lundra | Lůndůn | Lundúnir | Lùng-dŭng | Lunnainn | Lunnin | Lunnon | Lûn-tun | Lùn-tûn | Q84 | Rānana | لأندأن | لندن | لەندەن | لوندون | לאנדאן | לונדון | Λονδίνο | Лёндан | Лондан | Лондон | Лондон ош | Лондонъ | ལོན་ཊོན། | Լոնդոն | Լոնտոն | ლონდონი | लण्डन | लन्डन् | लन्दन | लंडन | लंदन | લંડન | లండన్ | ਲੰਡਨ | ಲಂಡನ್ | இலண்டன் | ലണ്ടൻ | লন্ডন | လန်ဒန်မြို့ | ලන්ඩන් | 伦敦 | 倫敦,88,
02010644-p004-loc01,02010644-p004,02010644,1,London,London,2643743,https://www.geonames.org/2643743,51.50853,-0.12574,United Kingdom,런던 | ᎫᎴ ᏗᏍᎪᏂᎯᏱ | ܠܘܢܕܘܢ | ለንደን | ロンドン | ଲଣ୍ଡନ | ลอนดอน | ລອນດອນ | GBLON | ILondon | Lākana | Landan | Landen | Llundain | Lodoni | LON | Londain | Londar | Londe | Londen | Londin | Londinium | Londn | london | London | Londona | Londonas | Londoni | Londono | Londons | Lọndọnu | Londra | Łondra | Londres | Londrez | Londri | Londro | Londye | Londyn | Londýn | Lonn | Lontoo | Loundres | Luân Đôn | Lunden | Lundra | Lůndůn | Lundúnir | Lùng-dŭng | Lunnainn | Lunnin | Lunnon | Lûn-tun | Lùn-tûn | Q84 | Rānana | لأندأن | لندن | لەندەن | لوندون | לאנדאן | לונדון | Λονδίνο | Лёндан | Лондан | Лондон | Лондон ош | Лондонъ | ལོན་ཊོན། | Լոնդոն | Լոնտոն | ლონდონი | लण्डन | लन्डन् | लन्दन | लंडन | लंदन | લંડન | లండన్ | ਲੰਡਨ | ಲಂಡನ್ | இலண்டன் | ലണ്ടൻ | লন্ডন | လန်ဒန်မြို့ | ලන්ඩන් | 伦敦 | 倫敦,88,
02010644-p005-loc01,02010644-p005,02010644,1,London,London,2643743,https://www.geonames.org/2643743,51.50853,-0.12574,United Kingdom,런던 | ᎫᎴ ᏗᏍᎪᏂᎯᏱ | ܠܘܢܕܘܢ | ለንደን | ロンドン | ଲଣ୍ଡନ | ลอนดอน | ລອນດອນ | GBLON | ILondon | Lākana | Landan | Landen | Llundain | Lodoni | LON | Londain | Londar | Londe | Londen | Londin | Londinium | Londn | london | London | Londona | Londonas | Londoni | Londono | Londons | Lọndọnu | Londra | Łondra | Londres | Londrez | Londri | Londro | Londye | Londyn | Londýn | Lonn | Lontoo | Loundres | Luân Đôn | Lunden | Lundra | Lůndůn | Lundúnir | Lùng-dŭng | Lunnainn | Lunnin | Lunnon | Lûn-tun | Lùn-tûn | Q84 | Rānana | لأندأن | لندن | لەندەن | لوندون | לאנדאן | לונדון | Λονδίνο | Лёндан | Лондан | Лондон | Лондон ош | Лондонъ | ལོན་ཊོན། | Լոնդոն | Լոնտոն | ლონდონი | लण्डन | लन्डन् | लन्दन | लंडन | लंदन | લંડન | లండన్ | ਲੰਡਨ | ಲಂಡನ್ | இலண்டன் | ലണ്ടൻ | লন্ডন | လန်ဒန်မြို့ | ලන්ඩන් | 伦敦 | 倫敦,88,
02010644-p006-loc01,02010644-p006,02010644,1,Cambridge,Cambridge,2653941,https://www.geonames.org/2653941,52.2,0.11667,United Kingdom,케임브리지 | Caergrawnt | Cambridge | Cantabrigia | CBG | GBCMG | Grantanbrycg | Kambrij | Kembric | Kembridža | Kembridžas | Kembriĝo | Kiam-khiâu | Κέμπριτζ | Кеймбридж | Кембридж | Кембриҷ | Кембриџ | Кембрідж | Кембрыдж | კემბრიჯი | Քեմբրիջ | קיימברידג' | كامبريدج | کمبریج | کیمبرج | केंब्रिज | ক্যামব্রিজ | ಕೇಂಬ್ರಿಜ್ | കേംബ്രിഡ്ജ് | เคมบริดจ์ | ကိန်းဘရစ်ချ်မြို့ | ケンブリッジ | 劍橋,34,
