provenance_id,mei_id,provenance_sequence,time_start,time_end,centuries,certainty,provenance_types,source_codes,acquisition_method,note,area_codes,agent_count,agent_names,agent_owner_ids,agent_roles,agent_types,agent_dates,agent_external_ids,agents_json,binding_note,binding_date,binding_type,binding_status,cover_material,board_material,binding_height,binding_width,binding_depth,decoration_note,rubrication_note,rubrication_date,manuscript_note,stamps_note,shelfmark_evidence,price_amount,price_currency,price_note,evidence_date,place_count,additional_evidence_json
00559196-p001,00559196,1,,,,a,,,,,e-uk-en,1,Cambridge University Library,3463,R390,corporate,,http://thesaurus.cerl.org/record/cnc00002301,"[{""characterisation"":[""noc""],""externalId"":[""http://thesaurus.cerl.org/record/cnc00002301""],""name"":""Cambridge University Library"",""ownerId"":3463,""professionOrType"":[""lib""],""role"":""R390"",""type"":""corporate"",""variants"":[""Cambridge, University, Library"",""University Library, Cambridge"",""University of Cambridge, Cambridge University Library"",""University of Cambridge, Library"",""University of Cambridge, University Library""]}]",Inc.6.C.1.5[2333]: Binding: Nineteenth-century full olive grained morocco; turn-ins gilt rolled; spine direct-lettered in gilt: Horologium devotionis.,,,,,,,,,"Inc.6.C.1.5[2333]: Decoration: Red initials and red paragraph marks , capial strokes and underlining throughout; extensive staining from rubricator's ink on sig. e4v; first three woodcuts crudely stained in yellow. Item number one in volume, bound with ISTC im00432000 (Meditationes de vita et beneficiis Jesu Christi, sive Gratiarum actiones ([Basel: Johann Amerbach and Johann Petri de Langendorff, not after 1489]). UkCU,Inc.5.C.1.5[2335]: Decoration: red and blue initials; red paragraph marks, capital strokes and underlining throughout. Item number two in volume; bound with ISTC im00432000 (Meditationes de vita et beneficiis Jesu Christi, sive Gratiarum actiones ([Basel: Johann Amerbach and Johann Petri de Langendorff, not after 1489])) and ISTC ig00177000 (Gerardus de Zutphania De spiritualibus ascensionibus ([Basel: Johann Amerbach and Johann Petri de Langendorff, not after 1489])).",,,,,,,,,,1,
00559195-p001,00559195,1,,,,a,,,,"Inc.7.A.4.1[342]:  Provenance:  Inscribed 'Hinricus Recharen [?]' on leaf n8 verso, 16th century.  Inscribed 'Phillipps's sale, 1869, lot 57' (Bradshaw's note in lower right corner of upper pastedown) and no. '57' on paper spine label.  Bought of CJ Stewart on 28 June 1869 through the Rustat Fund. UkCU,Inc.7.A.4.1[343]:  Provenance:  Jean Patrice August Madden, his bookplate with motto 'Torcular calcavi solus' and stamped number '899146' on upper pastedown.  Madden's sale, Versailles,14-22 April 1890, lot 1027.3, ('no 1027.3' in pencil on bookplate and on inserted paper slip).",e-uk-en,1,Cambridge University Library,3463,R390,corporate,,http://thesaurus.cerl.org/record/cnc00002301,"[{""characterisation"":[""noc""],""externalId"":[""http://thesaurus.cerl.org/record/cnc00002301""],""name"":""Cambridge University Library"",""ownerId"":3463,""professionOrType"":[""lib""],""role"":""R390"",""type"":""corporate"",""variants"":[""Cambridge, University, Library"",""University Library, Cambridge"",""University of Cambridge, Cambridge University Library"",""University of Cambridge, Library"",""University of Cambridge, University Library""]}]",,,,,,,,,,,,,,,,,,,,1,
02135612-p001,02135612,1,,,,,,,,,,1,Universitätsbibliothek Tübingen,00028883,R399,,,https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00025088 | https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00005655 | https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00013333,"[{""externalId"":[""https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00025088"",""https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00005655"",""https://thesaurus.cerl.org/cgi-bin/record.pl?rid=cnc00013333""],""name"":""Universitätsbibliothek Tübingen"",""ownerId"":""00028883"",""role"":""R399"",""variants"":[""Tübingen, Universitätsbibliothek "","" Tuebingen UB"",""Tübingen, Eberhard-Karls-Universität"",""Tubingen UB""]}]",,,,,,,,,,,,,,,,,,,,1,
02138264-p001,02138264,1,,,,,,,,"abdij van Tegernsee (volgens de veilingcatalogus ‘on lit sur les gardes ‘‘Attinet magistro de Gernsee, 1496’’ ’. Deze inscriptie, nu niet meer aanwezig, moet gelezen worden als ‘attinet monasterio Tegernsee’); Hofbibliothek München (zie A-1163).",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
02138264-p002,02138264,2,,,,,,,,,e-ne,1,"Westreenen van Tiellandt, Willem Hendrik Jacob van",00016628,R390,person,,http://thesaurus.cerl.org/record/cnp01397346 | http://thesaurus.cerl.org/record/cnp02141281 | http://thesaurus.cerl.org/record/cnp01259036,"[{""externalId"":[""http://thesaurus.cerl.org/record/cnp01397346"",""http://thesaurus.cerl.org/record/cnp02141281"",""http://thesaurus.cerl.org/record/cnp01259036""],""name"":""Westreenen van Tiellandt, Willem Hendrik Jacob van"",""ownerId"":""00016628"",""professionOrType"":[""lic""],""role"":""R390"",""type"":""person"",""variants"":[""Westreenen Van Tiellandt, Willem Hendrik Jacob van"",""Westreenen Van Tiellandt, Willem Hendrik Jacob Baron van""]}]",,,,,,,,,,,,,,,,,,,,1,
02138264-p003,02138264,3,,,,,,,,"Verwerving: veiling P***, Parijs, R. Merlin (CP: Fournel), 13-2-1839, lot 10, 5 francs. Via boekhandel Tilliard, Parijs (AR 14-3-1839, FA 157/003r). / Beschrijving: catalogue FA 136/156.",e-ne,1,Museum Meermanno | Huis van het boek,00016814,R399,corporate,,,"[{""name"":""Museum Meermanno | Huis van het boek"",""ownerId"":""00016814"",""professionOrType"":[""lib""],""role"":""R399"",""type"":""corporate"",""variants"":[""The Hague, Museum Meermanno "",""Museum Meermanno-Westreenianum"",""Museum Meermanno | Huis van het Boek""]}]","bij aankoop (1) in convoluut met (2) A-1163, (3) A-0545, (4) A-0758, ex. 2 en (5) -A-1033. Door W. Carbentus werd de inhoud van het convoluut over drie banden verdeeld: (1) A-0238 in convoluut met (2) A-1163 en (3) A-0545; (4) A-0758, ex. 2 en (5) A-1033 ieder apart.",,,,,,,,,,,,,,,,,,,1,
02010644-p001,02010644,1,1481,1500,15,a,l,a,,,,0,,,,,,,,,,,,,,,,,Initials are supplied in red (partly oxidised). ,,,,,,,,,,0,
02010644-p002,02010644,2,1541,1600,16,a,a,a,,On a2r: `1545 fest [...]' in light-brown ink.  On b3v: `Your owne sublyng Batilel G. 1545/6' in brown ink. On b7v and d1v: `[An]no 1546' in brown ink.,e-uk,0,,,,,,,,,,,,,,,,,,,,"16th century, mss notes (from palaeographical evidence). ",,,,,,,0,"{""msFrequency"":""a""}"
02010644-p003,02010644,3,,1604,15 | 16 | 17,a,n,,,"This book is described in the catalogue of Whitgift's library (LPL, MS Film 21, f. 172).",e-uk,1,"Whitgift, John <Archbishop of Canterbury>",3522,R390,person,1530 - 1604,http://thesaurus.cerl.org/record/cnp00552955,"[{""characterisation"":[""rel""],""dates"":""1530 - 1604"",""externalId"":[""http://thesaurus.cerl.org/record/cnp00552955""],""gender"":""1002"",""name"":""Whitgift, John <Archbishop of Canterbury>"",""ownerId"":""3522"",""role"":""R390"",""type"":""person"",""variants"":[""Whitgifte, John""]}]",Gold-tooled Arms of John Whitgift on both covers,t,c,e,b,g,,,,,,,,,,,,,,1,"{""edges"":""b"",""gauffered"":""d"",""titling"":[""b""],""tooling"":""b"",""writingOnEdges"":""d""}"
02010644-p004,02010644,4,1604,1610,17,a,n,,a,"This book is described in the catalogue of Bancroft's library (LPL, LR/F/1, f. 33r). He probably bought it in agreement with Whitgift's relatives after the latter's death (see: David Pearson, The Libraries of English Bishops, 1600-40, in: The Library, 6th ser., XIV (1992), p. 256). ",e-uk,1,"Bancroft, Richard",3464,R390,person,1544 - 1610,http://thesaurus.cerl.org/record/cnp01306934,"[{""characterisation"":[""rel""],""dates"":""1544 - 1610"",""externalId"":[""http://thesaurus.cerl.org/record/cnp01306934""],""gender"":""1002"",""name"":""Bancroft, Richard"",""note"":""Archbishop of Canterbury (1604-1610)"",""ownerId"":""3464"",""role"":""R390"",""type"":""person""}]",,,,,,,,,,,,,,,,,,,,1,
