relationship_id,requested_istc_id,relation_type,mei_id,host_istc_id,linked_copy_id,holding_institution_id,shelfmark
r001,ib00506000,direct,00559196,ib00506000,00559196,CambridgeUL,Inc.5.C.1.5[2335]
r002,ib00503000,direct,00559195,ib00503000,00559195,CambridgeUL,Inc.7.A.4.1[343]
r003,ib00506000,direct,02135612,ib00506000,02135612,TubingenUB,3 in: Gb 607
r004,ib00506000,direct,02138264,ib00506000,02138264,TheHagueMMW,001 F 033: 01
r005,ib00503000,direct,02010644,ib00503000,02010644,LondonLambeth,[ZZ] 1488.4.01
r006,ib00506000,direct,00201811,ib00506000,00201811,MantovaC,Inc. 979(1)
r007,ib00506000,direct,02128157,ib00506000,02128157,MilanoN,AP. XIX. 10/3
r008,ib00506000,direct,02013740,ib00506000,02013740,PrincetonUL,5866.174
r009,ib00503000,direct,00559194,ib00503000,00559194,CambridgeUL,Inc.7.A.4.1[342]
r010,ib00506000,direct,00202805,ib00506000,00202805,OxfordBodley,Auct. Q sup. 3.3.
r011,ib00506000,direct,02152090,ib00506000,02152090,WillCL,Inc B441
r012,ib00506000,direct,02133844,ib00506000,02133844,SolothurnZB,ZBS Rar 109 (1 an)
r013,ib00512000,direct,00559198,ib00512000,00559198,CambridgeUL,Inc.6.C.1.5[2315]
r014,ib00503000,bound_with,02010646,ig00175000,02010644,LondonLambeth,[ZZ] 1488.4.03
r015,ib00506000,bound_with,02128155,ig00177000,02128157,MilanoN,AP. XIX. 10/1
r016,ib00506000,bound_with,02128158,ia00528000,02128157,MilanoN,AP. XIX. 10/4
r017,ih00370100,direct,00203573,ih00370100,00203573,OxfordBodley,Gough Missals 40.
r018,ih00427100,direct,00205588,ih00427100,00205588,OxfordBodley,Douce 16.
r019,ib00503000,bound_with,02010645,im00431000,02010644,LondonLambeth,[ZZ] 1488.4.02
r020,ib00506000,bound_with,02128156,im00432000,02128157,MilanoN,AP. XIX. 10/2
r021,ib00503000,bound_with,02176494,im00431000,,NueGN,Inc. 8° 33494
