sample_order,istc_id,gw_ids,corpus_group,corpus_file,gw_titles,print_places_gw,year_from,year_to,date_band,language_statements_gw,istc_url,selection_note
1,ib00512000,04168,supplementary,supplementary-gw-corpus.csv,Bertholdus: Zeitglöcklein des Lebens und Leidens Christi.,Basel,1492,1492,1490s,,https://data.cerl.org/istc/ib00512000,Retained from the initial six-ISTC API test
2,ib00503000,04172,supplementary,supplementary-gw-corpus.csv,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, lat.",Köln,1488,1488,1480s,lat.,https://data.cerl.org/istc/ib00503000,Retained from the initial six-ISTC API test
3,ib00506000,04175,supplementary,supplementary-gw-corpus.csv,"Bertholdus: Zeitglöcklein des Lebens und Leidens Christi, lat.",Basel,1490,1490,1490s,lat.,https://data.cerl.org/istc/ib00506000,Retained from the initial six-ISTC API test
4,ih00370100,13403,horae,horae-gw-corpus.csv,Horae ad usum Romanum bzw. Traiectensem (Utrecht).,Antwerpen,1492,1492,1490s,,https://data.cerl.org/istc/ih00370100,Retained from the initial six-ISTC API test
5,ih00427000,13403,horae,horae-gw-corpus.csv,Horae ad usum Romanum bzw. Traiectensem (Utrecht).,Antwerpen,1492,1492,1490s,,https://data.cerl.org/istc/ih00427000,Retained from the initial six-ISTC API test
6,ih00427100,13403,horae,horae-gw-corpus.csv,Horae ad usum Romanum bzw. Traiectensem (Utrecht).,Antwerpen,1492,1492,1490s,,https://data.cerl.org/istc/ih00427100,Retained from the initial six-ISTC API test
7,ih00373800,1313950N | 1319250N,horae,horae-gw-corpus.csv,Horae ad usum Romanum. | Horae ad usum abbatiae Beati Martini de Maceyo (Massay).,Paris,1493,1497,1490s,,https://data.cerl.org/istc/ih00373800,Retained to test one ISTC identifier linked to multiple GW records
8,ig00113060,12999,horae,horae-gw-corpus.csv,"Horae, niederdeutsch.",Lübeck,1478,1478,through_1479,niederdeutsch,https://data.cerl.org/istc/ig00113060,Stratified pilot selection: through 1479; Lübeck; niederdeutsch
9,ig00112800,12988,horae,horae-gw-corpus.csv,"Horae, deutsch.",Ulm,1476,1476,through_1479,deutsch,https://data.cerl.org/istc/ig00112800,Stratified pilot selection: through 1479; Ulm; deutsch
10,ic00788150,13391,horae,horae-gw-corpus.csv,"Horae, ital. Compagnia dei Battuti.",Florenz,1477,1477,through_1479,ital.,https://data.cerl.org/istc/ic00788150,Stratified pilot selection: through 1479; Florenz; ital.
11,ih00357340,13360,horae,horae-gw-corpus.csv,Horae. Officium BMV secundum usum Romanum.,Venedig,1478,1478,through_1479,,https://data.cerl.org/istc/ih00357340,Stratified pilot selection: through 1479; Venedig; language not stated in extracted GW title
12,ih00357360,13337,horae,horae-gw-corpus.csv,Horae. Officium BMV secundum usum Romanum.,Neapel,1478,1478,through_1479,,https://data.cerl.org/istc/ih00357360,Stratified pilot selection: through 1479; Neapel; language not stated in extracted GW title
13,ih00420200,13021,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury).,Westminster,1478,1478,through_1479,,https://data.cerl.org/istc/ih00420200,Stratified pilot selection: through 1479; Westminster; language not stated in extracted GW title
14,ih00429300,13424,horae,horae-gw-corpus.csv,"Horae, niederl. Getijdenboek (Almanach 1480–1521).",Delft,1480,1480,1480s,niederl.,https://data.cerl.org/istc/ih00429300,Stratified pilot selection: 1480s; Delft; niederl.
15,ih00357050,13113,horae,horae-gw-corpus.csv,"Horae ad usum Pictaviensem (Poitiers) (Almanach 1489–1508). Darin: Pseudo-Hieronymus, Sophronius Eusebius: Epistola ad Marcellam, franz.",Paris,1489,1490,1480s,franz.,https://data.cerl.org/istc/ih00357050,Stratified pilot selection: 1480s; Paris; franz.
16,ih00420300,13013,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury).,London,1484,1484,1480s,,https://data.cerl.org/istc/ih00420300,Stratified pilot selection: 1480s; London; language not stated in extracted GW title
17,ih00362700,13034,horae,horae-gw-corpus.csv,Horae. Officium BMV secundum usum Romanum.,Lyon,1489,1489,1480s,,https://data.cerl.org/istc/ih00362700,Stratified pilot selection: 1480s; Lyon; language not stated in extracted GW title
18,ih00357380,12965,horae,horae-gw-corpus.csv,Horae. Cursus.,Nürnberg,1482,1482,1480s,,https://data.cerl.org/istc/ih00357380,Stratified pilot selection: 1480s; Nürnberg; language not stated in extracted GW title
19,ih00427995,12983,horae,horae-gw-corpus.csv,"Horae, deutsch. Curs.",Augsburg,1485,1485,1480s,deutsch,https://data.cerl.org/istc/ih00427995,Stratified pilot selection: 1480s; Augsburg; deutsch
20,ig00113090,13012,horae,horae-gw-corpus.csv,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.",Magdeburg,1483,1484,1480s,niederdeutsch,https://data.cerl.org/istc/ig00113090,Stratified pilot selection: 1480s; Magdeburg; niederdeutsch
21,ih00357440,13031,horae,horae-gw-corpus.csv,Horae ad usum Romanum.,Genf,1480,1480,1480s,,https://data.cerl.org/istc/ih00357440,Stratified pilot selection: 1480s; Genf; language not stated in extracted GW title
22,ih00357500,13353,horae,horae-gw-corpus.csv,Horae. Officium BMV.,Rom,1481,1481,1480s,,https://data.cerl.org/istc/ih00357500,Stratified pilot selection: 1480s; Rom; language not stated in extracted GW title
23,ih00426500,13413,horae,horae-gw-corpus.csv,Horae ad usum Traiectensem (Utrecht)(?).,Gouda,1483,1484,1480s,,https://data.cerl.org/istc/ih00426500,Stratified pilot selection: 1480s; Gouda; language not stated in extracted GW title
24,ih00485000,12969,horae,horae-gw-corpus.csv,"Horae. Hortulus animae. Daran: Duranti, Guillelmus: Rationale divinorum officiorum. Ausz.(?).",Strassburg,1498,1498,1490s,,https://data.cerl.org/istc/ih00485000,Stratified pilot selection: 1490s; Strassburg; language not stated in extracted GW title
25,ih00430500,13432,horae,horae-gw-corpus.csv,"Horae, niederl. Getijdenboek.",Leiden,1494,1494,1490s,niederl.,https://data.cerl.org/istc/ih00430500,Stratified pilot selection: 1490s; Leiden; niederl.
26,ih00431400,13438,horae,horae-gw-corpus.csv,"Horae, niederl. Getijdenboek.",Schoonhoven,1498,1498,1490s,niederl.,https://data.cerl.org/istc/ih00431400,Stratified pilot selection: 1490s; Schoonhoven; niederl.
